"uid","cluster","spent","country","gender","device"
"1000000","Treatment","0","CAN","M",""
"1000001","Control","0","BRA","M",""
"1000002","Control","0","FRA","M",""
"1000003","Treatment","0","BRA","M",""
"1000004","Control","0","DEU","F",""
"1000005","Treatment","0","GBR","F",""
"1000006","Treatment","0","ESP","M",""
"1000007","Control","0","BRA","F",""
"1000008","Control","0","BRA","F",""
"1000009","Control","0","USA","",""
"1000010","Treatment","0","BRA","M",""
"1000012","Treatment","0","USA","M",""
"1000013","Control","0","GBR","F",""
"1000014","Control","0","USA","M",""
"1000015","Control","0","AUS","F",""
"1000016","Control","0","DEU","F",""
"1000017","Treatment","0","MEX","O",""
"1000018","Treatment","0","USA","M",""
"1000019","Treatment","0","MEX","F",""
"1000020","Control","0","AUS","M",""
"1000021","Treatment","0","GBR","M",""
"1000022","Treatment","0","DEU","F",""
"1000023","Treatment","0","BRA","M",""
"1000024","Control","0","CAN","M",""
"1000025","Control","0","USA","M",""
"1000026","Treatment","0","DEU","F",""
"1000027","Treatment","0","BRA","",""
"1000028","Control","0","BRA","F",""
"1000029","Control","0","MEX","M",""
"1000030","Control","0","FRA","F",""
"1000031","Treatment","0","GBR","F",""
"1000032","Control","0","GBR","",""
"1000033","Control","0","FRA","",""
"1000034","Control","0","USA","M",""
"1000035","Treatment","0","USA","F",""
"1000036","Treatment","0","USA","F",""
"1000037","Treatment","0","TUR","M",""
"1000038","Control","0","BRA","M",""
"1000039","Treatment","36.65","GBR","F","A"
"1000040","Control","0","USA","F",""
"1000041","Control","0","CAN","M",""
"1000042","Control","0","BRA","F",""
"1000043","Treatment","0","","F",""
"1000044","Treatment","0","USA","",""
"1000045","Treatment","51.58","USA","F","I"
"1000046","Control","0","BRA","M",""
"1000047","Control","0","USA","F",""
"1000048","Control","0","CAN","F",""
"1000049","Control","0","USA","F",""
"1000050","Control","0","MEX","M",""
"1000051","Treatment","0","MEX","",""
"1000052","Treatment","0","BRA","M",""
"1000053","Control","0","BRA","M",""
"1000054","Treatment","0","GBR","F",""
"1000055","Control","0","ESP","M",""
"1000056","Treatment","0","AUS","M",""
"1000057","Treatment","0","BRA","O",""
"1000058","Control","0","TUR","F",""
"1000059","Control","0","DEU","F",""
"1000061","Treatment","0","DEU","M",""
"1000062","Treatment","0","AUS","F",""
"1000063","Control","0","USA","F",""
"1000064","Treatment","0","CAN","M",""
"1000065","Treatment","0","TUR","F",""
"1000066","Control","0","DEU","",""
"1000067","Control","0","BRA","M",""
"1000068","Treatment","0","GBR","F",""
"1000069","Treatment","0","ESP","M",""
"1000070","Control","0","ESP","M",""
"1000071","Treatment","6.71","USA","F","I"
"1000072","Treatment","0","DEU","F",""
"1000073","Control","0","USA","M",""
"1000074","Treatment","0","BRA","O",""
"1000075","Control","0","GBR","M",""
"1000076","Control","0","USA","F",""
"1000077","Control","0","AUS","F",""
"1000078","Control","0","FRA","F",""
"1000080","Control","0","USA","",""
"1000081","Control","0","USA","F",""
"1000082","Treatment","0","BRA","M",""
"1000083","Control","0","BRA","F",""
"1000084","Control","0","MEX","M",""
"1000085","Control","0","MEX","M",""
"1000086","Treatment","0","BRA","M",""
"1000087","Treatment","0","ESP","M",""
"1000088","Treatment","0","","O",""
"1000089","Control","0","BRA","F",""
"1000090","Treatment","0","USA","F",""
"1000091","Treatment","0","BRA","M",""
"1000092","Treatment","0","BRA","",""
"1000093","Treatment","0","TUR","M",""
"1000094","Treatment","0","DEU","M",""
"1000095","Treatment","0","CAN","F",""
"1000096","Treatment","0","USA","F",""
"1000097","Treatment","0","MEX","O",""
"1000098","Control","0","GBR","M",""
"1000099","Control","0","USA","",""
"1000100","Treatment","0","","M",""
"1000101","Treatment","23.804496940652932","MEX","F","A"
"1000102","Control","0","USA","M",""
"1000103","Control","0","BRA","M",""
"1000104","Control","0","USA","",""
"1000105","Control","0","USA","M",""
"1000106","Control","0","TUR","",""
"1000107","Control","0","BRA","",""
"1000108","Treatment","0","MEX","M",""
"1000109","Treatment","0","MEX","M",""
"1000110","Control","0","USA","M",""
"1000111","Treatment","0","GBR","",""
"1000112","Control","0","USA","F",""
"1000113","Treatment","0","BRA","M",""
"1000114","Control","0","CAN","M",""
"1000115","Control","0","MEX","M",""
"1000117","Control","0","ESP","",""
"1000118","Treatment","0","USA","M",""
"1000119","Treatment","0","BRA","F",""
"1000120","Treatment","0","TUR","M",""
"1000121","Treatment","0","ESP","F",""
"1000122","Control","0","BRA","F",""
"1000123","Treatment","100.74","DEU","","I"
"1000124","Treatment","0","MEX","M",""
"1000125","Control","0","DEU","F",""
"1000126","Control","0","TUR","F",""
"1000127","Treatment","0","USA","F",""
"1000128","Treatment","0","GBR","M",""
"1000129","Control","0","DEU","M",""
"1000130","Treatment","0","USA","M",""
"1000131","Control","0","BRA","",""
"1000132","Treatment","0","USA","F",""
"1000133","Control","0","USA","",""
"1000134","Treatment","0","USA","",""
"1000135","Treatment","0","USA","M",""
"1000136","Control","0","MEX","M",""
"1000137","Control","0","USA","M",""
"1000138","Treatment","0","BRA","M",""
"1000139","Control","0","USA","",""
"1000140","Control","0","USA","M",""
"1000141","Control","11.49","BRA","M","A"
"1000142","Treatment","0","USA","F",""
"1000143","Treatment","0","USA","",""
"1000144","Control","0","USA","M",""
"1000145","Control","0","MEX","",""
"1000146","Control","0","BRA","F",""
"1000147","Control","0","TUR","F",""
"1000148","Control","0","FRA","M",""
"1000149","Control","0","","M",""
"1000150","Treatment","0","USA","F",""
"1000151","Control","0","MEX","M",""
"1000152","Treatment","0","MEX","F",""
"1000153","Treatment","0","USA","F",""
"1000155","Control","0","DEU","M",""
"1000156","Control","0","BRA","M",""
"1000157","Control","0","ESP","F",""
"1000158","Control","0","TUR","M",""
"1000160","Control","35.34","USA","F","A"
"1000161","Control","0","","M",""
"1000162","Control","52.92","BRA","M","A"
"1000163","Treatment","0","BRA","F",""
"1000164","Treatment","0","BRA","F",""
"1000165","Treatment","0","GBR","M",""
"1000166","Control","0","DEU","M",""
"1000167","Control","0","BRA","F",""
"1000168","Control","0","BRA","F",""
"1000169","Control","0","USA","O",""
"1000170","Treatment","0","USA","M",""
"1000171","Control","0","USA","M",""
"1000172","Control","0","USA","",""
"1000173","Control","0","USA","F",""
"1000174","Treatment","0","TUR","M",""
"1000175","Control","0","AUS","F",""
"1000177","Control","0","DEU","F",""
"1000178","Treatment","0","USA","M",""
"1000179","Treatment","0","USA","M",""
"1000180","Treatment","0","USA","M",""
"1000181","Control","0","USA","F",""
"1000182","Treatment","0","TUR","F",""
"1000183","Treatment","0","MEX","M",""
"1000184","Control","0","ESP","M",""
"1000185","Treatment","53.07","MEX","F","I"
"1000186","Control","0","MEX","F",""
"1000187","Treatment","0","","M",""
"1000188","Treatment","0","USA","M",""
"1000189","Treatment","0","CAN","",""
"1000190","Control","0","GBR","M",""
"1000191","Treatment","0","FRA","F",""
"1000192","Control","0","ESP","F",""
"1000193","Treatment","0","BRA","F",""
"1000194","Control","0","MEX","F",""
"1000195","Control","0","GBR","F",""
"1000196","Control","0","MEX","M",""
"1000197","Treatment","0","TUR","F",""
"1000198","Control","0","USA","M",""
"1000199","Treatment","0","MEX","F",""
"1000200","Control","166.32","USA","F","I"
"1000201","Treatment","0","CAN","F",""
"1000202","Control","0","MEX","M",""
"1000203","Control","0","DEU","M",""
"1000204","Treatment","0","DEU","M",""
"1000205","Control","0","BRA","",""
"1000206","Control","0","USA","F",""
"1000207","Control","0","TUR","F",""
"1000208","Control","0","USA","F",""
"1000209","Treatment","0","ESP","",""
"1000210","Control","0","FRA","F",""
"1000211","Treatment","0","USA","M",""
"1000212","Control","0","MEX","F",""
"1000213","Treatment","0","AUS","M",""
"1000214","Treatment","0","FRA","F",""
"1000215","Treatment","0","","M",""
"1000216","Treatment","0","USA","M",""
"1000217","Treatment","0","BRA","",""
"1000218","Treatment","0","USA","F",""
"1000219","Control","0","ESP","F",""
"1000220","Control","0","USA","",""
"1000221","Control","0","DEU","M",""
"1000222","Control","0","USA","M",""
"1000223","Control","0","DEU","M",""
"1000224","Control","0","GBR","F",""
"1000225","Treatment","0","USA","M",""
"1000226","Control","0","CAN","M",""
"1000227","Control","0","GBR","F",""
"1000228","Treatment","0","USA","F",""
"1000229","Control","0","USA","M",""
"1000230","Treatment","0","BRA","O",""
"1000231","Treatment","0","FRA","F",""
"1000232","Treatment","0","BRA","F",""
"1000233","Control","0","MEX","M",""
