"uid","cluster","coalesce","country","gender","device","dt"
"1045924","Control","0","MEX","F","",""
"1049284","Treatment","0","GBR","F","",""
"1009237","Treatment","0","USA","","",""
"1017429","Treatment","0","MEX","","",""
"1022462","Control","0","USA","F","",""
"1008427","Control","0","DEU","F","",""
"1035718","Control","0","CAN","F","",""
"1012056","Treatment","0","BRA","F","",""
"1001135","Treatment","0","USA","M","",""
"1000432","Control","0","USA","","",""
"1035175","Control","0","MEX","F","",""
"1004077","Treatment","0","DEU","F","",""
"1022915","Control","0","TUR","","",""
"1010019","Control","0","USA","M","",""
"1031108","Treatment","0","USA","","",""
"1019872","Control","0","MEX","M","",""
"1027545","Control","0","TUR","M","",""
"1022043","Treatment","194.4","MEX","","A","2023-01-28"
"1007680","Treatment","0","DEU","F","",""
"1002006","Treatment","0","USA","M","",""
"1028209","Control","0","DEU","M","",""
"1009605","Treatment","0","USA","M","",""
"1026314","Control","0","USA","M","",""
"1017992","Control","0","USA","","",""
"1042245","Control","0","USA","M","",""
"1020325","Control","145.94409540138568","USA","M","I","2023-02-06"
"1046176","Treatment","0","MEX","F","",""
"1012776","Control","0","MEX","F","",""
"1041569","Treatment","0","USA","M","",""
"1010148","Control","0","GBR","M","",""
"1034764","Control","0","USA","F","",""
"1016821","Control","82.93","TUR","","I","2023-02-06"
"1006428","Treatment","0","AUS","F","",""
"1018909","Treatment","0","BRA","","",""
"1023315","Control","0","BRA","M","",""
"1034456","Control","0","ESP","F","",""
"1003979","Treatment","0","","F","",""
"1044032","Treatment","0","BRA","M","",""
"1025352","Treatment","40.52","MEX","F","I","2023-01-28"
"1018975","Treatment","0","GBR","M","",""
"1047995","Treatment","0","CAN","M","",""
"1045769","Control","0","BRA","M","",""
"1042171","Control","0","USA","M","",""
"1040998","Treatment","0","ESP","F","",""
"1036539","Control","0","MEX","","",""
"1024530","Control","0","USA","M","",""
"1001868","Treatment","0","DEU","M","",""
"1046860","Treatment","0","BRA","F","",""
"1029951","Control","0","MEX","O","",""
"1005283","Control","0","BRA","M","",""
"1028270","Control","0","USA","F","",""
"1012118","Treatment","0","MEX","M","",""
"1006473","Control","0","BRA","M","",""
"1000190","Control","0","GBR","M","",""
"1031720","Control","0","AUS","F","",""
"1022463","Control","0","USA","M","",""
"1016039","Treatment","38.97","DEU","M","I","2023-02-05"
"1026301","Treatment","0","MEX","O","",""
"1001623","Control","0","USA","F","",""
"1041374","Treatment","0","FRA","","",""
"1047996","Control","0","GBR","M","",""
"1041842","Control","0","BRA","F","",""
"1041962","Treatment","0","USA","M","",""
"1041138","Control","0","ESP","M","",""
"1014889","Treatment","0","USA","F","",""
"1021037","Treatment","32.19","ESP","M","I","2023-01-27"
"1028372","Control","0","USA","F","",""
"1004617","Control","0","GBR","M","",""
"1047368","Control","0","TUR","","",""
"1028569","Control","0","ESP","F","",""
"1027233","Control","0","FRA","","",""
"1034852","Control","0","FRA","F","",""
"1030679","Control","0","TUR","M","",""
"1025309","Treatment","0","DEU","F","",""
"1045712","Treatment","0","USA","F","",""
"1033824","Control","0","BRA","M","",""
"1020086","Treatment","0","MEX","F","",""
"1005933","Treatment","0","BRA","F","",""
"1031123","Treatment","0","BRA","F","",""
"1027428","Control","0","USA","F","",""
"1018186","Treatment","0","USA","M","",""
"1042449","Treatment","0","USA","F","",""
"1024828","Treatment","0","BRA","","",""
"1012214","Treatment","0","MEX","F","",""
"1015272","Treatment","0","USA","","",""
"1002325","Control","0","USA","M","",""
"1002916","Control","0","USA","M","",""
"1044190","Treatment","58.97","BRA","M","I","2023-01-30"
"1027221","Treatment","0","USA","F","",""
"1038083","Treatment","0","USA","F","",""
"1008552","Control","0","TUR","M","",""
"1000655","Control","0","DEU","F","",""
"1033500","Control","0","BRA","M","",""
"1031173","Control","0","MEX","F","",""
"1009802","Control","0","MEX","F","",""
"1046244","Control","0","DEU","M","",""
"1042503","Control","0","MEX","M","",""
"1004670","Treatment","0","BRA","M","",""
"1007445","Treatment","0","USA","F","",""
"1040317","Control","0","FRA","M","",""
"1017712","Control","0","USA","F","",""
"1008976","Treatment","0","FRA","F","",""
"1006129","Control","0","TUR","","",""
"1026400","Treatment","0","MEX","F","",""
"1048860","Control","0","BRA","M","",""
"1043294","Treatment","0","USA","M","",""
"1034766","Control","0","DEU","","",""
"1017246","Treatment","0","CAN","","",""
"1000237","Treatment","13.17","USA","M","I","2023-01-29"
"1033077","Treatment","0","USA","","",""
"1029659","Treatment","0","TUR","F","",""
"1027677","Control","0","ESP","M","",""
"1006211","Control","0","USA","F","",""
"1032167","Control","0","MEX","F","",""
"1023252","Treatment","0","USA","M","",""
"1022603","Control","0","FRA","M","",""
"1043152","Treatment","0","","F","",""
"1035928","Control","0","USA","M","",""
"1021944","Control","0","FRA","F","",""
"1006036","Treatment","0","ESP","M","",""
"1028886","Treatment","0","BRA","F","",""
"1022906","Treatment","0","BRA","F","",""
"1042911","Treatment","0","MEX","F","",""
"1029328","Treatment","0","BRA","M","",""
"1014409","Treatment","0","DEU","F","",""
"1007871","Control","0","BRA","M","",""
"1015387","Treatment","76.6","BRA","F","I","2023-01-30"
"1034271","Treatment","0","BRA","F","",""
"1014829","Control","0","BRA","M","",""
"1009708","Control","0","BRA","M","",""
"1039817","Treatment","0","TUR","M","",""
"1017182","Treatment","0","BRA","M","",""
"1005528","Control","0","BRA","F","",""
"1040250","Treatment","0","TUR","M","",""
"1046250","Control","0","BRA","F","",""
"1015617","Treatment","0","GBR","M","",""
"1035312","Treatment","0","FRA","F","",""
"1009868","Control","0","BRA","","",""
"1014307","Treatment","0","BRA","M","",""
"1024357","Treatment","0","MEX","M","",""
"1001479","Treatment","0","USA","M","",""
"1002440","Treatment","0","TUR","M","",""
"1044613","Control","0","DEU","","",""
"1040580","Treatment","0","CAN","M","",""
"1033292","Control","0","BRA","M","",""
"1025997","Treatment","0","TUR","F","",""
"1000118","Treatment","0","USA","M","",""
"1049878","Control","0","USA","F","",""
"1001041","Control","0","","M","",""
"1032090","Treatment","0","BRA","O","",""
"1011941","Treatment","0","BRA","F","",""
"1040001","Control","0","USA","F","",""
"1036919","Treatment","0","MEX","","",""
"1043693","Control","0","USA","M","",""
"1025327","Control","0","USA","M","",""
"1006994","Treatment","0","USA","","",""
"1048254","Treatment","0","USA","M","",""
"1030435","Treatment","0","USA","M","",""
"1029357","Control","0","FRA","M","",""
"1025862","Control","0","USA","M","",""
"1048610","Treatment","0","FRA","F","",""
"1046927","Treatment","0","BRA","O","",""
"1033237","Control","0","GBR","F","",""
"1019302","Control","0","BRA","M","",""
"1015793","Control","40.24","USA","M","I","2023-01-27"
"1012434","Control","0","USA","","",""
"1041690","Treatment","0","FRA","O","",""
"1021199","Control","0","BRA","","",""
"1007208","Treatment","0","USA","M","",""
"1041936","Control","0","USA","F","",""
"1039429","Treatment","0","CAN","F","",""
"1002794","Treatment","17.17","MEX","","A","2023-01-26"
"1004325","Treatment","161.46","BRA","M","A","2023-01-29"
"1024504","Treatment","0","CAN","F","",""
"1027193","Control","0","MEX","M","",""
"1028759","Treatment","0","TUR","O","",""
"1016400","Treatment","0","FRA","M","",""
"1001434","Treatment","0","DEU","O","",""
"1004134","Treatment","50.37","MEX","M","I","2023-02-03"
"1044315","Treatment","0","FRA","M","",""
"1023450","Treatment","0","ESP","M","",""
"1026721","Treatment","0","DEU","","",""
"1040569","Treatment","0","USA","","",""
"1011392","Treatment","0","USA","M","",""
"1033297","Treatment","0","USA","M","",""
"1026602","Treatment","0","USA","M","",""
"1014434","Treatment","0","BRA","M","",""
"1035429","Control","0","BRA","F","",""
"1028907","Treatment","0","USA","","",""
